RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-438,"8,0","8,7","7,5","6,5","8,0",0,2022
RA-439,"9,0","4,9","7,5","3,2","1,3",-1,2022
RA-440,"9,5","9,0","6,9","6,0","5,0",0,2022
RA-441,"9,0","7,9","7,5","8,0","8,0",0,2022
RA-442,"10,0","8,2","7,5","9,0","6,0",0,2022
RA-443,"9,0","9,1","7,5","8,0","3,2",-1,2022
RA-444,"9,0","7,2","5,0","1,5","4,7",0,2022
RA-445,"9,0","9,4","7,5","0,0","7,5",-1,2022
RA-446,"9,5","8,9","5,0","6,3","7,5",-1,2022
RA-447,"0,0","7,0","7,5","7,0","0,0",0,2022
RA-448,"9,0","9,7","7,5","5,0","6,0",0,2022
RA-449,"0,0","6,0","7,5","6,0","8,0",-1,2022
RA-450,"10,0","9,1","7,5","6,8","8,2",-1,2022
RA-451,"9,0","6,0","6,3","3,1","9,2",-1,2022
RA-452,"9,0","5,6","7,5","5,0","4,5",-1,2022
RA-453,"9,0","8,7","7,5","8,0","9,5",-1,2022
RA-454,"9,5","8,6","5,0","0,0","4,7",-2,2022
RA-455,"7,0","7,9","7,5","6,0","6,5",-1,2022
RA-456,"6,4","8,2","6,3","6,0","8,7",-1,2022
RA-457,"8,0","8,8","7,5","7,0","10,0",-1,2022
RA-458,"8,0","7,7","7,5","4,7","6,5",-1,2022
RA-459,"7,0","9,1","8,1","5,3","9,2",-1,2022
RA-460,"6,8","8,1","7,5","0,5","6,0",-1,2022
RA-461,"0,0","6,7","7,5","1,5","6,2",-1,2022
RA-462,"10,0","8,5","7,5","2,0","5,2",-2,2022
RA-463,"10,0","7,8","7,5","2,0","3,0",-1,2022
RA-464,"7,5","8,0","7,5","2,7","7,0",-1,2022
RA-465,"8,0","7,9","7,5","9,3","6,3",0,2022
RA-466,"8,5","9,7","7,5","0,5","6,0",-1,2022
RA-467,"5,8","8,4","5,0","5,0","6,0",-1,2022
RA-468,"9,5","6,7","7,5","4,5","3,7",-1,2022
RA-469,"9,0","9,6","5,0","6,2","5,2",0,2022
RA-470,"8,0","9,7","7,5","5,3","7,3",-1,2022
RA-471,"3,5","8,5","5,0","5,7","6,8",-1,2022
RA-472,"9,0","7,0","7,5","1,8","2,2",-1,2022
RA-473,"8,0","6,1","7,5","4,5","4,0",-1,2022
RA-474,"9,5","9,1","7,5","1,3","4,7",-1,2022
RA-475,"8,5","9,2","7,5","3,3","8,3",-1,2022
RA-476,"9,0","9,3","4,4","5,0","6,0",-1,2022
RA-477,"0,0","5,0","5,6","0,3","1,0",-1,2022
RA-478,"8,5","9,1","5,6","3,8","6,0",-1,2022
RA-479,"8,0","9,2","7,5","10,0","9,7",-1,2022
RA-480,"9,0","8,8","7,5","6,8","5,7",-1,2022
RA-481,"9,0","8,0","7,5","5,7","4,7",0,2022
RA-482,"10,0","7,9","7,5","4,3","6,7",-1,2022
RA-483,"9,0","4,8","5,0","2,0","2,8",-1,2022
RA-484,"9,5","8,7","5,0","8,0","5,0",-1,2022
RA-485,"9,5","4,0","7,5","1,0","1,3",-1,2022
RA-486,"10,0","9,9","7,5","6,7","7,8",-1,2022
RA-487,"7,5","9,7","7,5","9,7","9,5",-1,2022
RA-488,"8,5","8,8","7,5","6,0","8,5",-1,2022
RA-489,"9,0","7,2","7,5","0,0","0,0",0,2022
RA-490,"7,9","8,2","7,5","6,0","9,3",-1,2022
RA-491,"7,5","9,7","7,5","6,0","8,0",-1,2022
RA-492,"10,0","8,8","7,5","8,2","6,0",-1,2022
RA-493,"10,0","9,4","7,5","7,3","7,0",0,2022
RA-494,"6,4","8,3","5,0","6,3","5,2",-1,2022
RA-495,"9,0","8,9","7,5","8,0","8,8",-1,2022
RA-496,"8,5","6,8","7,5","5,8","5,5",-1,2022
RA-497,"6,9","9,2","5,0","4,2","6,0",-2,2022
RA-498,"8,5","8,8","7,5","8,0","9,5",-1,2022
RA-499,"8,5","10,0","7,5","8,2","8,2",-1,2022
RA-500,"9,0","10,0","7,5","9,5","9,5",-1,2022
RA-501,"8,5","8,8","7,5","8,0","5,7",0,2022
RA-502,"9,5","9,7","7,5","6,7","8,2",1,2022
RA-503,"8,5","10,0","7,5","8,7","9,0",-1,2022
RA-504,"8,5","8,9","7,5","7,8","8,2",0,2022
RA-505,"9,5","8,0","7,5","8,2","8,7",-1,2022
RA-506,"9,5","7,3","7,5","8,3","6,0",-2,2022
RA-507,"8,5","10,0","7,5","7,3","7,5",-1,2022
RA-508,"8,0","7,4","7,5","0,0","9,0",-1,2022
RA-509,"9,0","8,2","7,5","9,3","9,0",-2,2022
RA-510,"8,0","9,3","7,5","5,8","8,3",-2,2022
RA-511,"8,0","10,0","7,5","2,0","8,5",-1,2022
RA-512,"9,0","9,3","7,5","5,3","7,0",-1,2022
RA-513,"9,0","9,6","5,6","8,2","8,5",0,2022
RA-514,"8,0","9,7","7,5","2,0","7,5",0,2022
RA-515,"8,0","6,3","7,5","8,5","3,2",-2,2022
RA-516,"10,0","9,7","7,5","10,0","9,8",0,2022
RA-517,"6,9","9,5","7,5","7,8","7,5",-2,2022
RA-518,"9,0","9,4","7,5","6,0","9,0",-1,2022
RA-519,"7,4","9,6","7,5","7,0","8,0",0,2022
RA-520,"10,0","6,8","7,5","5,0","8,5",-1,2022
RA-521,"9,0","10,0","5,0","5,0","7,0",0,2022
RA-522,"9,5","9,1","7,5","7,0","8,0",0,2022
RA-523,"10,0","9,5","7,5","5,0","8,0",-1,2022
RA-524,"0,0","9,4","5,0","9,0","9,2",-1,2022
RA-525,"9,0","9,3","7,5","8,3","8,8",-1,2022
RA-526,"10,0","9,9","7,5","7,7","8,3",-2,2022
RA-527,"8,5","10,0","7,5","5,0","8,0",0,2022
RA-528,"0,0","6,2","7,5","5,3","2,7",-1,2022
RA-529,"8,5","8,9","5,0","3,3","7,0",-2,2022
RA-530,"10,0","9,0","7,5","9,0","8,8",-1,2022
RA-531,"9,5","9,8","7,5","8,7","7,0",-1,2022
RA-532,"9,5","9,7","7,5","4,0","7,0",0,2022
RA-533,"8,5","8,8","5,6","5,0","7,0",-1,2022
RA-534,"9,0","7,4","7,5","6,5","7,7",-2,2022
RA-535,"9,0","9,2","7,5","4,7","5,5",-1,2022
RA-536,"9,5","8,9","5,6","6,3","5,7",-1,2022
RA-537,"9,5","9,0","4,4","2,5","7,0",-1,2022
RA-538,"8,5","7,5","5,6","4,5","9,0",-2,2022
RA-539,"8,5","9,3","6,9","6,8","8,2",-1,2022
RA-540,"8,5","9,5","5,6","6,8","7,2",-1,2022
RA-541,"10,0","7,8","6,9","0,0","5,0",-3,2022
RA-542,"8,0","9,8","6,3","5,3","7,7",-1,2022
RA-543,"8,5","9,8","4,4","5,0","8,0",-1,2022
RA-544,"9,5","9,7","5,6","1,0","5,5",-1,2022
RA-545,"9,5","6,6","7,5","4,3","6,7",-2,2022
RA-546,"9,0","7,9","5,0","3,3","7,8",-1,2022
RA-547,"9,5","9,7","5,0","7,3","7,8",-1,2022
RA-548,"8,0","9,1","6,9","5,7","8,7",-2,2022
RA-549,"10,0","7,9","6,9","2,2","6,2",-1,2022
RA-550,"9,0","9,0","6,9","2,0","1,8",-2,2022
RA-551,"8,5","7,3","6,9","5,0","8,2",-2,2022
RA-552,"9,5","8,8","5,0","6,0","5,0",-1,2022
RA-553,"9,5","6,9","6,9","1,0","5,7",-1,2022
RA-554,"7,9","6,0","6,9","1,7","6,3",-2,2022
RA-555,"9,5","8,1","5,0","1,8","7,0",-2,2022
RA-556,"9,0","8,8","5,0","4,8","8,0",-1,2022
RA-557,"10,0","8,4","7,5","10,0","8,8",-1,2022
RA-558,"9,0","8,5","5,0","0,5","8,0",-3,2022
RA-559,"9,5","9,2","7,5","7,2","7,0",-1,2022
RA-560,"6,9","7,2","5,0","3,2","4,3",-1,2022
RA-561,"9,0","9,0","7,5","9,5","5,3",-1,2022
RA-562,"8,0","9,0","7,5","8,3","7,7",-1,2022
RA-563,"10,0","9,2","7,5","9,0","8,0",-1,2022
RA-564,"9,5","3,8","5,0","2,5","2,0",-2,2022
RA-565,"9,0","4,1","7,5","4,0","1,8",-2,2022
RA-566,"9,5","8,4","7,5","9,5","7,5",-2,2022
RA-567,"9,5","6,0","7,5","4,3","5,2",-1,2022
RA-568,"8,0","8,6","6,9","8,0","8,5",-3,2022
RA-569,"9,5","8,7","5,0","6,3","7,3",-2,2022
RA-570,"9,0","7,0","7,5","0,7","2,0",-1,2022
RA-571,"8,5","8,8","7,5","3,3","4,0",-1,2022
RA-572,"8,5","8,0","7,5","4,5","9,0",0,2022
RA-573,"9,5","9,9","7,5","8,3","8,0",-1,2022
RA-574,"9,5","7,2","5,0","5,5","9,5",-1,2022
RA-575,"8,0","6,1","7,5","2,7","3,0",-2,2022
RA-576,"9,5","9,1","7,5","7,5","8,0",-1,2022
RA-577,"9,5","9,3","7,5","8,3","9,7",-1,2022
RA-578,"9,5","10,0","8,8","9,3","9,7",-1,2022
RA-579,"8,5","5,8","7,5","0,0","7,5",-1,2022
RA-580,"8,0","9,6","7,5","6,3","8,8",-1,2022
RA-581,"7,5","8,9","7,5","5,3","4,7",-1,2022
RA-582,"10,0","9,0","7,5","4,3","5,5",-1,2022
RA-583,"8,5","9,4","7,5","6,2","8,0",-2,2022
RA-584,"8,0","8,5","7,5","4,5","4,7",-1,2022
RA-585,"8,5","9,1","7,5","3,7","6,3",0,2022
RA-586,"10,0","9,6","5,6","8,2","8,2",-1,2022
RA-587,"9,5","9,3","7,5","1,0","6,5",-1,2022
RA-588,"9,5","10,0","5,6","9,3","9,2",0,2022
RA-589,"9,5","9,4","7,5","3,0","8,5",0,2022
RA-590,"8,5","8,6","7,5","5,7","9,2",-1,2022
RA-591,"9,5","9,3","7,5","7,8","6,3",-1,2022
RA-592,"8,0","8,5","5,6","7,2","9,7",-1,2022
RA-593,"7,5","7,4","7,5","3,0","6,2",-1,2022
RA-594,"8,0","9,4","7,5","6,0","9,5",-1,2022
RA-595,"8,5","5,5","7,5","2,0","0,0",-2,2022
RA-596,"9,5","10,0","7,5","8,8","9,8",0,2022
RA-597,"9,0","10,0","7,5","6,5","9,5",0,2022
RA-598,"9,5","7,2","7,5","4,7","2,7",-1,2022
RA-599,"9,5","9,2","7,5","8,3","9,8",-1,2022
RA-600,"8,5","8,4","7,5","2,8","5,0",0,2022
RA-601,"9,0","9,7","7,5","5,3","6,0",1,2022
RA-602,"10,0","9,7","7,5","8,3","8,8",-1,2022
RA-603,"9,0","9,5","7,5","6,7","8,3",-1,2022
RA-604,"9,0","9,0","7,5","8,0","9,7",-1,2022
RA-605,"6,9","9,3","6,9","6,2","8,0",-2,2022
RA-606,"9,5","9,0","7,5","2,0","1,5",-1,2022
RA-607,"6,8","8,1","7,5","3,0","5,0",-1,2022
RA-608,"7,8","9,6","7,5","3,0","9,5",-1,2022
RA-609,"8,5","7,6","7,5","6,5","5,5",-1,2022
RA-610,"9,0","9,6","7,5","6,0","7,0",0,2022
RA-611,"9,5","7,6","7,5","10,0","9,0",-2,2022
RA-612,"9,0","9,2","7,5","9,7","6,2",-1,2022
RA-613,"9,0","9,2","7,5","9,2","9,2",-2,2022
RA-614,"9,5","9,7","7,5","9,8","9,3",-2,2022
RA-615,"9,5","9,7","7,5","7,8","6,7",0,2022
RA-616,"7,4","7,4","7,5","9,2","8,5",-2,2022
RA-617,"8,5","8,9","7,5","4,5","8,0",-1,2022
RA-618,"8,9","8,3","7,5","6,8","6,5",-2,2022
RA-619,"9,5","8,0","7,5","9,2","8,8",-1,2022
RA-620,"0,0","7,5","7,5","8,5","5,0",-2,2022
RA-621,"9,5","7,7","7,5","6,8","8,2",-1,2022
RA-622,"3,5","3,8","7,5","4,8","2,7",-2,2022
RA-623,"7,5","9,0","7,5","9,3","7,2",-2,2022
RA-624,"9,0","8,9","7,5","8,0","5,5",-1,2022
RA-625,"8,0","9,2","7,5","8,5","7,0",-1,2022
RA-626,"7,4","7,6","7,5","2,5","0,0",-1,2022
RA-627,"7,0","6,7","7,5","6,2","6,8",-1,2022
RA-628,"9,5","7,6","7,5","9,3","9,0",-1,2022
RA-629,"9,0","10,0","7,5","5,0","9,0",0,2022
RA-630,"9,5","9,2","7,5","6,5","8,0",0,2022
RA-631,"8,5","6,8","7,5","7,3","6,7",-2,2022
RA-632,"8,5","9,3","6,9","5,5","7,2",-1,2022
RA-633,"7,3","8,9","7,5","6,8","8,5",-1,2022
RA-634,"9,5","9,4","7,5","8,0","5,0",-1,2022
RA-635,"10,0","4,9","6,9","0,5","2,5",-1,2022
RA-636,"8,5","8,0","6,9","7,3","7,3",-1,2022
RA-637,"8,5","9,0","7,5","4,8","6,8",-1,2022
RA-638,"8,5","9,3","7,5","2,0","5,8",0,2022
RA-639,"8,5","7,4","7,5","3,2","7,8",-1,2022
RA-640,"9,0","8,4","7,5","2,5","7,0",-1,2022
RA-641,"9,0","9,3","7,5","4,5","8,5",0,2022
RA-642,"10,0","9,7","6,9","7,0","7,7",-1,2022
RA-643,"9,0","8,0","7,5","6,3","6,0",-1,2022
RA-644,"9,5","8,0","7,5","9,7","8,0",-1,2022
RA-645,"8,5","8,1","7,5","4,0","0,0",-1,2022
RA-646,"8,5","9,8","8,1","8,8","8,0",-2,2022
RA-647,"9,5","8,6","7,5","1,5","5,2",-1,2022
RA-648,"9,0","7,5","6,9","5,0","5,5",-2,2022
RA-649,"8,5","8,9","5,6","6,3","8,5",-2,2022
RA-650,"6,9","8,7","5,6","5,5","8,3",-1,2022
RA-651,"8,5","9,3","7,5","7,7","7,8",-1,2022
RA-652,"8,0","9,6","7,5","7,0","8,5",0,2022
RA-653,"9,5","9,6","7,5","9,5","9,0",-1,2022
RA-654,"8,5","8,6","7,5","5,5","8,0",-2,2022
RA-655,"7,5","9,2","7,5","8,3","8,2",-2,2022
RA-656,"7,4","7,5","5,6","5,0","7,5",-1,2022
RA-657,"9,5","9,8","7,5","9,0","9,0",-2,2022
RA-658,"10,0","9,3","7,5","4,7","6,5",-1,2022
RA-659,"8,0","7,8","7,5","9,5","9,0",-1,2022
RA-660,"9,5","9,0","7,5","5,8","8,0",0,2022
RA-661,"9,0","8,3","7,5","8,3","7,3",-1,2022
RA-662,"9,0","8,8","7,5","5,7","7,8",-1,2022
RA-663,"6,9","8,7","7,5","5,0","6,5",-1,2022
RA-664,"9,5","8,8","7,5","5,0","7,5",-1,2022
RA-665,"9,0","7,4","7,5","6,5","7,0",-1,2022
RA-666,"9,5","9,1","7,5","8,0","7,5",-1,2022
RA-667,"8,5","5,6","7,5","3,7","5,3",-1,2022
RA-668,"6,9","3,3","7,5","2,8","2,8",-1,2022
RA-669,"9,0","9,7","7,5","5,0","7,0",-1,2022
RA-670,"8,0","8,8","7,5","6,5","7,3",-1,2022
RA-671,"8,5","8,2","8,1","8,8","8,8",-1,2022
RA-672,"8,5","8,5","8,1","8,5","9,1",-1,2022
RA-673,"8,5","9,2","8,1","9,4","8,9",0,2022
RA-674,"9,5","8,7","8,1","8,9","7,0",0,2022
RA-675,"10,0","6,6","8,1","8,8","5,9",0,2022
RA-676,"8,5","8,6","8,1","9,5","9,1",-1,2022
RA-677,"10,0","9,4","7,5","7,7","6,8",0,2022
RA-678,"9,0","10,0","6,9","7,5","7,0",-1,2022
RA-679,"9,0","8,2","7,5","6,7","5,8",-2,2022
RA-680,"9,5","8,8","7,5","8,0","6,8",-2,2022
RA-681,"8,5","8,5","6,9","6,5","6,5",-2,2022
RA-682,"9,5","9,1","7,5","7,0","7,0",-2,2022
RA-683,"7,9","5,0","7,5","8,0","0,0",-2,2022
RA-684,"9,5","7,5","8,1","9,0","9,6",0,2022
RA-685,"9,0","6,2","5,0","8,0","8,0",-1,2022
RA-686,"7,5","8,6","8,1","9,2","8,5",-1,2022
RA-687,"8,5","9,0","8,1","9,0","7,5",-1,2022
RA-688,"8,5","9,7","7,5","8,0","7,8",-1,2022
RA-689,"7,4","7,9","5,6","6,0","5,5",-1,2022
RA-690,"9,5","9,5","7,5","7,2","6,8",-1,2022
RA-691,"10,0","9,2","8,1","9,6","9,3",0,2022
RA-692,"9,5","8,9","8,1","7,0","6,8",-1,2022
RA-693,"9,5","9,8","8,1","5,0","6,3",0,2022
RA-694,"10,0","9,0","8,1","8,2","8,0",0,2022
RA-695,"9,0","3,1","7,5","2,2","2,8",0,2022
RA-696,"8,5","9,0","7,5","6,5","6,7",-1,2022
RA-697,"7,0","9,3","7,5","8,8","8,0",-2,2022
RA-698,"9,0","9,8","2,5","8,0","8,2",-1,2022
RA-699,"5,2","9,2","7,5","7,5","6,7",-1,2022
RA-700,"9,0","8,7","7,5","9,2","9,2",-1,2022
RA-701,"9,0","9,3","7,5","8,7","8,7",-2,2022
RA-702,"10,0","8,6","5,0","7,0","6,7",0,2022
RA-703,"7,5","7,4","5,0","5,3","4,8",-2,2022
RA-704,"9,0","8,6","5,0","7,7","6,6",-2,2022
RA-705,"9,5","6,2","7,5","7,0","7,2",-2,2022
RA-706,"9,5","6,7","7,5","9,1","9,1",-2,2022
RA-707,"10,0","8,1","6,9","8,8","8,2",-2,2022
RA-708,"8,0","8,4","7,5","7,1","7,6",-1,2022
RA-709,"9,5","3,5","7,5","2,3","2,3",-2,2022
RA-710,"9,5","8,9","5,0","7,0","6,8",-2,2022
RA-711,"9,0","7,9","6,3","4,0","3,0",-1,2022
RA-712,"8,0","5,1","5,0","8,7","7,3",-2,2022
RA-713,"10,0","8,7","7,5","8,0","7,7",-1,2022
RA-714,"9,0","6,9","5,6","8,5","7,5",-2,2022
RA-715,"8,5","8,7","4,4","4,8","5,0",-1,2022
RA-716,"8,9","8,1","7,5","7,3","6,0",-1,2022
RA-717,"9,0","7,3","7,5","5,0","5,8",-2,2022
RA-718,"8,0","8,9","6,3","9,2","9,2",0,2022
RA-719,"9,0","4,6","7,5","5,0","3,3",-2,2022
RA-720,"8,0","5,9","7,5","7,3","7,8",-1,2022
RA-721,"9,5","8,1","7,5","8,2","7,0",0,2022
RA-722,"10,0","8,1","4,4","7,8","8,3",-1,2022
RA-723,"10,0","6,6","8,1","5,3","5,7",0,2022
RA-724,"9,5","5,9","5,6","2,9","8,3",0,2022
RA-725,"8,0","5,9","8,1","4,0","6,0",0,2022
RA-726,"10,0","7,5","7,5","5,8","3,0",0,2022
RA-727,"9,0","7,7","8,1","9,3","7,4",0,2022
RA-728,"9,5","7,3","8,1","9,3","8,9",0,2022
RA-729,"10,0","8,7","8,1","8,5","7,8",0,2022
RA-730,"10,0","8,2","8,8","8,7","8,0",-2,2022
RA-731,"9,0","8,5","6,9","7,3","7,2",-2,2022
RA-732,"9,0","7,9","8,8","7,5","6,8",-1,2022
RA-733,"9,5","8,5","5,6","6,0","4,2",-1,2022
RA-734,"9,5","7,2","5,6","8,0","6,5",-2,2022
RA-735,"9,0","9,0","5,6","7,8","6,7",-2,2022
RA-736,"9,0","8,5","5,6","4,7","6,2",-2,2022
RA-737,"9,5","9,2","5,6","8,5","9,5",-1,2022
RA-738,"8,5","8,1","5,6","7,7","3,7",0,2022
RA-739,"6,4","7,3","5,6","6,0","5,8",0,2022
RA-740,"8,5","9,0","5,6","7,3","7,0",-1,2022
RA-741,"9,5","8,4","5,6","7,3","5,2",-2,2022
RA-742,"8,5","8,7","5,0","8,3","6,2",-1,2022
RA-743,"10,0","7,9","5,6","4,8","4,8",-1,2022
RA-744,"9,5","9,7","5,6","6,0","6,3",0,2022
RA-745,"9,0","8,5","5,6","8,5","7,7",-1,2022
RA-746,"8,0","9,1","5,6","7,7","6,7",0,2022
RA-747,"10,0","7,6","7,5","8,2","9,4",-2,2022
RA-748,"10,0","9,0","7,5","9,6","8,6",-1,2022
RA-749,"9,5","7,7","7,5","9,5","8,1",-1,2022
RA-750,"9,5","8,9","4,4","7,1","6,4",-2,2022
RA-751,"8,5","5,8","7,5","2,7","4,9",-2,2022
RA-752,"10,0","9,0","7,5","9,6","9,4",-2,2022
RA-753,"9,5","8,6","7,5","9,4","8,8",0,2022
RA-754,"10,0","5,8","4,4","7,8","8,1",-1,2022
RA-755,"9,5","9,2","6,9","9,8","9,3",0,2022
RA-756,"10,0","7,9","7,5","5,6","5,8",-1,2022
RA-757,"9,5","9,3","7,5","9,9","9,6",-1,2022
RA-758,"9,0","9,1","7,5","8,0","8,2",-1,2022
RA-759,"9,0","8,6","7,5","8,3","6,7",-2,2022
RA-760,"9,0","9,2","7,5","9,3","8,2",-2,2022
RA-761,"10,0","9,4","7,5","8,8","7,5",-1,2022
RA-762,"10,0","9,7","7,5","7,3","6,0",-3,2022
RA-763,"9,5","9,7","7,5","6,3","6,7",-2,2022
RA-764,"9,0","8,8","7,5","7,2","7,8",0,2022
RA-765,"8,5","9,3","7,5","5,0","3,7",-1,2022
RA-766,"10,0","9,5","7,5","8,5","8,8",-2,2022
RA-767,"9,5","9,0","7,5","7,3","6,7",-2,2022
RA-768,"9,0","10,0","7,5","7,0","7,2",-2,2022
RA-769,"10,0","7,5","7,5","9,6","6,2",-1,2022
RA-770,"9,5","8,9","7,5","8,5","8,1",0,2022
RA-771,"10,0","8,3","7,5","7,2","6,9",0,2022
RA-772,"9,0","5,4","7,5","9,3","9,2",-2,2022
RA-773,"10,0","6,8","5,0","9,3","6,8",-1,2022
RA-774,"10,0","7,8","7,5","7,8","4,4",0,2022
RA-775,"7,9","5,7","4,4","5,5","5,8",-2,2022
RA-776,"0,0","4,3","4,4","0,0","3,3",-1,2022
RA-777,"8,0","7,7","7,5","6,5","4,0",0,2022
RA-778,"10,0","6,7","7,5","6,0","8,2",-1,2022
RA-779,"9,5","5,0","7,5","2,2","3,0",-2,2022
RA-780,"8,0","7,6","7,5","6,3","7,5",-1,2022
RA-781,"10,0","8,9","7,5","8,0","8,5",-1,2022
RA-782,"9,5","8,4","7,5","5,7","6,3",0,2022
RA-783,"9,5","5,8","7,5","4,7","7,3",0,2022
RA-784,"9,5","10,0","7,5","7,8","8,5",-1,2022
RA-785,"9,0","8,6","7,5","8,8","8,0",-1,2022
RA-786,"9,0","9,5","5,6","6,3","5,8",-2,2022
RA-787,"8,5","9,5","7,5","4,2","2,7",0,2022
RA-788,"10,0","9,3","5,6","7,8","8,2",0,2022
RA-789,"9,0","9,4","7,5","3,7","4,7",0,2022
RA-790,"9,0","8,9","7,5","8,5","7,2",-2,2022
RA-791,"9,5","8,7","7,5","6,3","6,7",-2,2022
RA-792,"9,5","8,0","7,5","6,5","5,8",-1,2022
RA-793,"9,5","7,6","7,5","6,0","6,0",-2,2022
RA-794,"9,5","8,9","7,5","3,7","4,5",0,2022
RA-795,"9,0","9,7","7,5","8,0","6,5",0,2022
RA-796,"9,5","9,3","7,5","5,8","5,0",-2,2022
RA-797,"9,0","8,5","7,5","8,2","6,5",-2,2022
RA-798,"8,0","8,3","7,5","7,0","5,7",-2,2022
RA-799,"8,0","9,6","7,5","8,5","7,2",-2,2022
RA-800,"8,0","5,4","7,5","6,3","5,8",0,2022
RA-801,"7,0","6,6","7,5","7,2","6,3",-1,2022
RA-802,"9,0","9,0","7,5","9,0","7,5",-1,2022
RA-803,"10,0","7,2","7,5","6,5","6,0",-2,2022
RA-804,"10,0","8,4","6,3","5,5","4,0",-2,2022
RA-805,"9,5","9,0","7,5","8,7","8,9",0,2022
RA-806,"9,5","7,3","7,5","5,0","8,2",0,2022
RA-807,"9,5","8,7","6,3","9,5","8,6",0,2022
RA-808,"10,0","9,1","6,3","9,7","8,8",0,2022
RA-809,"10,0","6,6","6,3","5,5","7,1",0,2022
RA-810,"8,5","9,1","5,0","9,7","9,5",0,2022
RA-811,"8,9","5,7","5,6","8,9","5,7",-1,2022
RA-812,"9,0","8,1","5,6","8,3","6,6",0,2022
RA-813,"9,5","6,5","6,9","6,7","5,3",0,2022
RA-814,"8,9","9,0","6,9","7,8","7,2",-1,2022
RA-815,"10,0","7,9","5,6","7,7","5,3",-1,2022
RA-816,"10,0","9,3","7,5","9,5","9,7",-1,2022
RA-817,"10,0","8,7","6,3","7,7","6,5",0,2022
RA-818,"9,5","7,3","7,5","6,5","5,8",0,2022
RA-819,"10,0","7,9","7,5","8,0","6,5",0,2022
RA-820,"9,5","10,0","6,9","7,7","4,3",-1,2022
RA-821,"9,0","7,0","7,5","5,2","4,0",-2,2022
RA-822,"8,0","8,4","7,5","6,5","5,7",-2,2022
RA-823,"10,0","6,0","7,5","4,0","1,7",-2,2022
RA-824,"10,0","4,4","6,9","7,0","5,0",0,2022
RA-825,"7,5","8,2","6,9","8,3","6,8",-1,2022
RA-826,"9,5","9,6","7,5","4,3","6,5",0,2022
RA-827,"9,5","7,0","7,5","7,7","7,5",-2,2022
RA-828,"9,5","7,1","7,5","7,3","6,5",-1,2022
RA-829,"9,0","8,6","7,5","8,2","7,5",0,2022
RA-830,"10,0","8,6","7,5","5,8","6,2",-1,2022
RA-831,"9,5","9,2","7,5","7,3","7,0",-1,2022
RA-832,"10,0","9,2","7,5","8,8","8,8",-1,2022
RA-833,"10,0","9,5","7,5","8,2","7,5",-1,2022
RA-834,"9,0","9,0","7,5","9,2","8,8",-1,2022
RA-835,"6,9","7,3","7,5","7,6","7,3",0,2022
RA-836,"8,5","8,3","7,5","9,0","9,3",-1,2022
RA-837,"8,5","9,0","7,5","9,2","8,3",0,2022
RA-838,"10,0","7,4","7,5","6,6","5,9",-1,2022
RA-839,"0,0","5,1","7,5","5,8","5,0",-1,2022
RA-840,"9,0","8,2","7,5","9,6","5,9",0,2022
RA-841,"8,5","8,5","7,5","8,6","5,8",-2,2022
RA-842,"7,5","8,3","7,5","9,1","9,1",0,2022
RA-843,"8,5","9,0","7,5","9,8","8,5",0,2022
RA-844,"0,0","5,0","8,1","6,0","5,8",0,2022
RA-845,"10,0","8,8","7,5","9,1","8,3",0,2022
RA-846,"9,0","7,2","7,5","7,7","4,0",0,2022
RA-847,"7,9","8,2","4,4","7,8","7,6",-1,2022
RA-848,"9,5","7,0","7,5","9,8","8,1",-1,2022
RA-849,"8,5","8,3","7,5","9,8","8,3",-1,2022
RA-850,"10,0","7,3","7,5","8,1","8,8",0,2022
RA-851,"9,0","7,9","7,5","7,9","8,7",0,2022
RA-852,"9,0","6,8","5,0","2,5","1,8",0,2022
RA-853,"10,0","9,6","7,5","8,8","8,2",0,2022
RA-854,"8,0","9,0","7,5","9,5","9,0",0,2022
RA-855,"10,0","9,6","7,5","9,7","9,6",-1,2022
RA-856,"10,0","9,1","7,5","8,5","8,2",0,2022
RA-857,"8,5","8,9","7,5","9,6","9,3",-1,2022
RA-858,"10,0","7,1","5,6","8,4","6,9",0,2022
RA-859,"8,5","8,7","7,5","9,4","8,4",0,2022
RA-860,"9,5","8,5","7,5","8,9","7,2",0,2022
RA-861,"9,5","10,0","8,13","9,8","9,4",0,2023
RA-862,"8,5","9,1","8,14","8,5","9,2",-1,2023
RA-863,"0,0","7,6","3,14","7,0","5,5",0,2023
RA-864,"0,0","7,6","8,14","7,0","5,5",0,2023
RA-865,"8,5","8,7","7,52","7,3","7,5",0,2023
RA-866,"0,0","8,3","8,76","8,2","8,9",0,2023
RA-867,"9,0","8,6","8,76","8,7","9,0",0,2023
RA-868,"10,0","9,5","8,76","7,8","6,3",0,2023
RA-869,"9,0","10,0","8,76","9,8","9,4",0,2023
RA-870,"0,0","8,5","8,76","2,0","1,0",-1,2023
RA-871,"9,0","9,5","3,76","6,8","7,0",-1,2023
RA-872,"0,0","6,7","2,52","5,5","3,0",-2,2023
RA-873,"8,5","9,7","7,52","7,2","6,8",-2,2023
RA-874,"0,0","8,2","7,52","6,3","3,3",-1,2023
RA-875,"9,5","9,5","7,52","7,0","7,5",-1,2023
RA-876,"10,0","9,4","7,52","7,3","7,7",0,2023
RA-877,"9,5","9,5","7,52","7,5","6,2",-1,2023
