RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-100,"8,8","7,8","5,0","7,0","7,8",1,2022
RA-101,"7,9","8,3","7,5","7,2","6,5",-1,2022
RA-102,"6,7","7,7","6,9","4,7","6,8",0,2022
RA-103,"7,9","8,7","7,5","7,3","7,3",1,2022
RA-104,"7,9","8,7","7,5","4,8","5,8",-4,2022
RA-105,"7,9","8,2","5,6","7,2","6,2",-3,2022
RA-106,"9,2","8,0","9,4","7,8","7,2",-1,2022
RA-107,"7,5","6,4","7,5","3,3","4,3",-1,2022
RA-108,"4,6","7,7","5,0","3,0","5,8",-3,2022
RA-109,"8,8","10,0","8,8","7,8","7,5",-2,2022
RA-110,"9,2","9,7","5,6","8,3","5,7",0,2022
RA-111,"7,5","9,4","8,1","6,7","7,5",1,2022
RA-112,"7,9","7,8","6,3","9,0","7,5",-1,2022
RA-113,"0,0","0,0","5,0","3,3","5,5",-1,2022
RA-114,"7,9","6,3","7,5","6,0","4,5",-2,2022
RA-115,"8,3","6,8","6,3","3,0","5,7",-2,2022
RA-116,"5,8","8,1","6,3","5,0","7,2",-2,2022
RA-117,"7,9","6,3","6,9","4,7","6,7",-1,2022
RA-118,"0,0","5,3","6,3","3,7","4,7",0,2022
RA-119,"8,3","8,2","5,6","5,7","7,0",0,2022
RA-120,"8,3","5,9","7,5","3,7","5,2",-1,2022
RA-121,"7,1","8,4","6,3","5,7","6,8",-2,2022
RA-122,"7,9","3,4","7,5","1,7","3,7",0,2022
RA-123,"7,9","8,6","5,6","7,3","6,3",-2,2022
RA-124,"7,9","7,8","5,0","5,7","7,0",0,2022
RA-125,"8,8","8,5","7,5","5,0","7,2",-1,2022
RA-126,"7,1","5,8","7,5","4,0","5,0",-1,2022
RA-127,"7,5","8,7","7,5","7,7","7,7",0,2022
RA-128,"0,0","6,2","7,5","6,7","6,8",-1,2022
RA-129,"6,7","6,4","7,5","6,0","5,3",-1,2022
RA-130,"8,3","4,7","5,0","3,7","5,2",-2,2022
RA-131,"8,8","9,0","5,6","6,0","6,5",-1,2022
RA-132,"10,0","8,8","5,6","6,5","7,5",0,2022
RA-133,"7,9","7,1","7,5","4,7","7,2",-1,2022
RA-134,"8,8","6,8","7,5","4,7","6,8",-1,2022
RA-135,"8,3","7,8","5,6","8,0","8,2",-1,2022
RA-136,"10,0","6,3","7,5","5,3","5,7",-1,2022
RA-137,"7,5","8,9","5,0","6,0","7,3",-3,2022
RA-138,"9,6","8,0","5,6","5,0","6,5",-1,2022
RA-139,"7,1","3,5","5,0","1,7","2,7",-3,2022
RA-140,"7,9","7,6","6,9","5,0","6,5",0,2022
RA-141,"9,2","8,2","5,6","5,8","6,2",0,2022
RA-142,"6,7","8,6","5,6","6,0","6,8",0,2022
RA-143,"8,3","9,9","5,6","9,7","7,7",1,2022
RA-144,"7,5","9,3","5,0","7,5","7,2",0,2022
RA-145,"0,0","6,3","8,1","3,0","4,8",-2,2022
RA-146,"8,3","9,2","7,5","6,3","7,3",-1,2022
RA-147,"8,3","7,7","7,5","5,8","4,8",0,2022
RA-148,"9,2","7,9","10,0","4,7","6,3",0,2022
RA-149,"9,2","6,5","7,5","4,0","6,0",-1,2022
RA-150,"9,6","6,3","6,9","5,3","6,7",-2,2022
RA-151,"8,8","7,5","6,9","7,3","8,0",-2,2022
RA-152,"8,3","7,0","7,5","4,0","7,0",-2,2022
RA-153,"7,9","8,2","5,0","3,3","7,7",0,2022
RA-154,"8,3","6,1","6,3","3,7","6,2",-1,2022
RA-155,"10,0","8,3","7,5","4,3","6,8",-2,2022
RA-156,"10,0","8,3","9,4","4,7","6,5",-1,2022
RA-157,"7,5","10,0","6,3","7,0","7,5",1,2022
RA-158,"7,9","9,8","5,6","5,0","6,7",-3,2022
RA-159,"8,3","8,1","5,6","4,3","5,8",-1,2022
RA-160,"7,5","7,2","5,6","2,7","6,0",-1,2022
RA-161,"7,9","9,1","5,6","5,3","6,8",2,2022
RA-162,"6,7","8,5","7,5","4,7","5,5",0,2022
RA-163,"8,8","7,9","5,6","6,5","6,3",-1,2022
RA-164,"8,3","7,3","5,6","4,7","6,5",-2,2022
RA-165,"7,1","9,8","5,6","5,3","7,8",0,2022
RA-166,"9,2","9,0","6,3","7,0","7,2",0,2022
RA-167,"9,2","9,7","5,6","9,3","8,0",-2,2022
RA-168,"7,9","8,3","6,3","4,7","8,2",-1,2022
RA-169,"7,5","5,1","6,3","1,3","4,5",-1,2022
RA-170,"8,3","9,2","5,6","3,7","6,7",0,2022
RA-171,"7,5","6,8","7,5","3,0","8,0",-2,2022
RA-172,"9,2","8,9","9,4","6,0","7,7",0,2022
RA-173,"8,3","9,2","6,9","9,0","7,5",-3,2022
RA-174,"7,9","6,2","7,5","4,0","5,3",-1,2022
RA-175,"8,3","9,2","5,6","4,7","7,2",-1,2022
RA-176,"9,6","9,1","5,6","5,1","6,8",0,2022
RA-177,"7,9","8,8","4,4","6,0","7,5",0,2022
RA-178,"0,0","8,8","4,4","6,2","5,3",0,2022
RA-179,"7,5","9,2","7,5","3,7","6,7",0,2022
RA-180,"9,2","8,3","6,3","7,7","8,3",0,2022
RA-181,"9,2","9,5","8,8","6,8","7,3",0,2022
RA-182,"7,5","8,0","7,5","1,3","5,7",-3,2022
RA-183,"8,3","8,8","7,5","0,0","7,5",0,2022
RA-184,"8,8","7,7","7,5","5,0","7,3",-3,2022
RA-185,"7,9","7,7","7,5","3,3","5,7",-2,2022
RA-186,"8,3","8,5","7,5","6,0","5,7",0,2022
RA-187,"8,8","8,9","7,5","5,3","7,2",0,2022
RA-188,"0,0","6,1","7,5","3,0","3,2",-1,2022
RA-189,"10,0","9,7","5,0","6,3","7,2",-1,2022
RA-190,"6,7","6,9","8,8","5,0","7,5",0,2022
RA-191,"10,0","9,4","8,8","8,0","7,2",0,2022
RA-192,"8,8","3,6","7,5","1,7","4,7",-2,2022
RA-193,"9,2","8,9","5,6","5,0","6,3",0,2022
RA-194,"0,0","6,2","5,0","3,7","5,8",-1,2022
RA-195,"8,8","9,2","5,0","6,8","6,3",0,2022
RA-196,"9,2","9,1","7,5","4,0","6,0",0,2022
RA-197,"8,8","9,7","4,4","6,0","7,5",0,2022
RA-198,"0,0","6,2","5,0","5,2","5,8",0,2022
RA-199,"8,3","7,1","7,5","5,7","7,8",0,2022
RA-200,"7,9","5,6","4,4","4,7","5,0",-2,2022
RA-201,"7,9","7,3","7,5","6,0","7,2",-2,2022
RA-202,"0,0","5,2","4,4","6,3","5,8",-1,2022
RA-203,"8,8","4,3","7,5","2,3","3,5",-1,2022
RA-204,"7,9","6,7","4,4","5,3","8,5",0,2022
RA-205,"9,6","3,8","7,5","5,7","1,7",-1,2022
RA-206,"8,3","8,8","7,5","4,0","6,0",0,2022
RA-207,"0,0","4,8","7,5","5,3","4,0",-3,2022
RA-208,"7,5","7,1","7,5","5,0","7,5",-1,2022
RA-209,"0,0","4,8","5,6","5,0","5,2",-1,2022
RA-210,"0,0","5,1","7,5","2,7","5,3",-1,2022
RA-211,"9,2","8,8","7,5","6,7","7,5",0,2022
RA-212,"9,6","8,4","7,5","4,8","5,8",-1,2022
RA-213,"9,6","8,7","7,5","5,0","2,0",0,2022
RA-214,"0,0","6,1","7,5","5,0","3,5",-2,2022
RA-215,"6,7","5,8","7,5","5,7","7,7",0,2022
RA-216,"7,9","8,5","7,5","5,3","6,5",0,2022
RA-217,"7,9","8,5","7,5","6,3","7,2",-2,2022
RA-218,"6,3","7,3","7,5","5,0","7,0",-1,2022
RA-219,"8,8","6,9","7,5","4,0","4,8",-3,2022
RA-220,"0,0","8,1","7,5","6,8","6,8",0,2022
RA-221,"9,6","8,5","7,5","7,0","3,5",-1,2022
RA-222,"7,1","4,6","7,5","5,0","7,5",-2,2022
RA-223,"0,0","4,6","7,5","4,3","4,7",0,2022
RA-224,"9,6","4,3","7,5","5,0","2,7",0,2022
RA-225,"8,3","5,3","7,5","3,0","7,0",-1,2022
RA-226,"7,5","6,1","7,5","7,0","6,5",-1,2022
RA-227,"9,2","6,4","7,5","4,7","4,3",0,2022
RA-228,"7,5","6,7","7,5","3,0","6,0",-2,2022
RA-229,"10,0","9,4","7,5","7,0","6,7",0,2022
RA-230,"7,9","5,1","7,5","3,7","4,3",-1,2022
RA-231,"8,8","7,4","7,5","3,0","4,5",-1,2022
RA-232,"0,0","4,9","7,5","0,0","0,0",0,2022
RA-233,"7,9","7,4","7,5","3,0","4,5",-1,2022
RA-234,"10,0","7,6","5,6","3,7","6,3",0,2022
RA-235,"8,3","7,3","7,5","7,0","5,5",-1,2022
RA-236,"9,6","7,5","7,5","4,0","4,0",0,2022
RA-237,"10,0","9,0","7,5","6,8","7,7",-1,2022
RA-238,"8,8","6,4","5,0","4,3","6,5",-1,2022
RA-239,"0,0","3,7","7,5","2,0","4,7",-2,2022
RA-240,"7,1","8,1","5,0","6,3","5,0",0,2022
RA-241,"10,0","10,0","7,5","8,2","7,5",-1,2022
RA-242,"9,6","9,7","5,6","8,7","7,2",0,2022
RA-243,"7,1","8,7","5,0","5,0","5,3",-2,2022
